algorithm;sample1;sample_size;output;output_image_size;duration;seed;algorithm_parameters
COC;SamplesBnW/Boulders.png;16x16;ExperimentsCOC/Output/Boulders1.png;64x64;77;42;Temperature=1, Receptor=2, Iterations=2
COC;SamplesBnW/Boulders.png;16x16;ExperimentsCOC/Output/Boulders2.png;64x64;75;42;Temperature=0.1, Receptor=2, Iterations=2
COC;SamplesBnW/Boulders.png;16x16;ExperimentsCOC/Output/Boulders3.png;64x64;143;42;Temperature=0.1, Receptor=2, Iterations=4
COC;SamplesBnW/CaveMaze.png;32x16;ExperimentsCOC/Output/CaveMaze1.png;128x128;282;42;Temperature=1, Receptor=2, Iterations=2
COC;SamplesBnW/CaveMaze.png;32x16;ExperimentsCOC/Output/CaveMaze2.png;128x128;1371;42;Temperature=1, Receptor=3, Iterations=2
COC;SamplesBnW/CaveMaze.png;32x16;ExperimentsCOC/Output/CaveMaze3.png;128x128;4155;42;Temperature=1, Receptor=4, Iterations=2
COC;SamplesBnW/CaveMaze.png;32x16;ExperimentsCOC/Output/CaveMaze4.png;128x128;8122;42;Temperature=1, Receptor=4, Iterations=4
COC;SamplesBnW/Rooms.png;16x16;ExperimentsCOC/Output/Rooms1.png;128x128;280;42;Temperature=1, Receptor=2, Iterations=2
COC;SamplesBnW/Rooms.png;16x16;ExperimentsCOC/Output/Rooms2.png;128x128;554;42;Temperature=1, Receptor=2, Iterations=4
COC;SamplesBnW/Rooms.png;16x16;ExperimentsCOC/Output/Rooms3.png;128x128;1095;42;Temperature=1, Receptor=2, Iterations=8
COC;SamplesBnW/Rooms.png;16x16;ExperimentsCOC/Output/Roomsv1.png;32x128;74;42;Temperature=1, Receptor=2, Iterations=2
COC;SamplesBnW/Rooms.png;16x16;ExperimentsCOC/Output/Roomsv2.png;32x128;141;42;Temperature=1, Receptor=2, Iterations=4
COC;SamplesBnW/Rooms.png;16x16;ExperimentsCOC/Output/Roomsv3.png;32x128;74;42;Temperature=0.1, Receptor=2, Iterations=2
COC;SamplesBnW/SimpleMaze.png;4x4;ExperimentsCOC/Output/SimpleMaze1.png;64x64;74;42;Temperature=1, Receptor=2, Iterations=2
COC;SamplesBnW/SimpleMaze.png;4x4;ExperimentsCOC/Output/SimpleMaze2.png;64x64;108;42;Temperature=1, Receptor=2, Iterations=3
COC;SamplesBnW/SimpleMaze.png;4x4;ExperimentsCOC/Output/SimpleMaze3.png;64x64;141;42;Temperature=0.1, Receptor=2, Iterations=4
COC;SamplesBnW/Boulders.png;16x16;ExperimentsCOC/Output/misc_Boulders.png;64x64;845;-1(592);Temperature=0.5, Receptor=3, Iterations=5
COC;SamplesBnW/SimpleMaze.png;4x4;ExperimentsCOC/Output/misc_SimpleMaze.png;64x64;347;-1(490);Temperature=1, Receptor=2, Iterations=10
COC;SamplesBnW/Cave.png;16x16;ExperimentsCOC/Output/misc_Cave.png;64x64;1638;-1(889);Temperature=1, Receptor=3, Iterations=10
COC;SamplesBnW/Caves.png;16x16;ExperimentsCOC/Output/misc_Caves.png;64x64;1660;-1(588);Temperature=1, Receptor=3, Iterations=10
COC;SamplesBnW/Chess.png;16x16;ExperimentsCOC/Output/misc_Chess.png;64x64;41;-1(310);Temperature=1, Receptor=2, Iterations=1
COC;SamplesBnW/LessRooms.png;16x16;ExperimentsCOC/Output/misc_LessRooms.png;64x64;1662;-1(405);Temperature=1, Receptor=3, Iterations=10
COC;SamplesBnW/Maze.png;16x16;ExperimentsCOC/Output/misc_Maze.png;64x64;1671;-1(131);Temperature=1, Receptor=3, Iterations=10
COC;SamplesBnW/River.png;16x16;ExperimentsCOC/Output/misc_River.png;64x64;1653;-1(856);Temperature=1, Receptor=3, Iterations=10
COC;SamplesBnW/Rooms.png;16x16;ExperimentsCOC/Output/misc_Rooms.png;64x64;1658;-1(570);Temperature=1, Receptor=3, Iterations=10
COC;SamplesBnW/SimpleRooms.png;11x11;ExperimentsCOC/Output/misc_SimpleRooms.png;64x64;1654;-1(286);Temperature=1, Receptor=3, Iterations=10
COC;SamplesBnW/ThickWalls.png;15x15;ExperimentsCOC/Output/misc_ThickWalls.png;64x64;1658;-1(994);Temperature=1, Receptor=3, Iterations=10
COC;SamplesBnW/CaveMaze.png;32x16;ExperimentsCOC/Output/misc_CaveMaze.png;64x64;1672;-1(713);Temperature=1, Receptor=3, Iterations=10
COC;SamplesBnW/Boulders.png;16x16;ExperimentsCOC/Output/misc_Boulders.gif;64x64;878;-1(809);Temperature=0.5, Receptor=3, Iterations=5
COC;SamplesBnW/SimpleMaze.png;4x4;ExperimentsCOC/Output/misc_SimpleMaze.gif;64x64;399;-1(734);Temperature=1, Receptor=2, Iterations=10
COC;SamplesBnW/Cave.png;16x16;ExperimentsCOC/Output/misc_Cave.gif;64x64;1695;-1(178);Temperature=1, Receptor=3, Iterations=10
COC;SamplesBnW/Caves.png;16x16;ExperimentsCOC/Output/misc_Caves.gif;64x64;1713;-1(924);Temperature=1, Receptor=3, Iterations=10
COC;SamplesBnW/Chess.png;16x16;ExperimentsCOC/Output/misc_Chess.gif;64x64;205;-1(692);Temperature=1, Receptor=2, Iterations=5
COC;SamplesBnW/LessRooms.png;16x16;ExperimentsCOC/Output/misc_LessRooms.gif;64x64;1713;-1(952);Temperature=1, Receptor=3, Iterations=10
COC;SamplesBnW/Maze.png;16x16;ExperimentsCOC/Output/misc_Maze.gif;64x64;1723;-1(717);Temperature=1, Receptor=3, Iterations=10
COC;SamplesBnW/River.png;16x16;ExperimentsCOC/Output/misc_River.gif;64x64;1710;-1(495);Temperature=1, Receptor=3, Iterations=10
COC;SamplesBnW/Rooms.png;16x16;ExperimentsCOC/Output/misc_Rooms.gif;64x64;1711;-1(256);Temperature=1, Receptor=3, Iterations=10
COC;SamplesBnW/SimpleRooms.png;11x11;ExperimentsCOC/Output/misc_SimpleRooms.gif;64x64;1712;-1(25);Temperature=1, Receptor=3, Iterations=10
COC;SamplesBnW/ThickWalls.png;15x15;ExperimentsCOC/Output/misc_ThickWalls.gif;64x64;1711;-1(790);Temperature=1, Receptor=3, Iterations=10
COC;SamplesBnW/CaveMaze.png;32x16;ExperimentsCOC/Output/misc_CaveMaze.gif;64x64;1707;-1(552);Temperature=1, Receptor=3, Iterations=10
