algorithm;sample1;sample_size;output;output_image_size;duration;seed;algorithm_parameters
COH;Samples/skulls.png;25x25;ExperimentsCOH1Output/skulls1.png;64x64;186;42;neighborhood=1, K=1
COH;Samples/skulls.png;25x25;ExperimentsCOH1Output/skulls2.png;64x64;145;42;neighborhood=2, K=1
COH;Samples/skulls.png;25x25;ExperimentsCOH1Output/skulls3.png;64x64;145;42;neighborhood=3, K=1
COH;Samples/wall.png;32x32;ExperimentsCOH1Output/wall1.png;128x128;557;42;neighborhood=1, K=1
COH;Samples/wall.png;32x32;ExperimentsCOH1Output/wall2.png;128x128;525;42;neighborhood=2, K=1
COH;Samples/wall.png;32x32;ExperimentsCOH1Output/wall3.png;128x128;522;42;neighborhood=3, K=1
COH;Samples/square_spiral.png;64x32;ExperimentsCOH1Output/square_spiral1.png;128x128;506;42;neighborhood=1, K=1
COH;Samples/square_spiral.png;64x32;ExperimentsCOH1Output/square_spiral2.png;128x128;519;42;neighborhood=2, K=1
COH;Samples/square_spiral.png;64x32;ExperimentsCOH1Output/square_spiral3.png;128x128;518;42;neighborhood=3, K=1
COH;Samples/halls_and_foam.png;50x25;ExperimentsCOH1Output/halls_and_foam1.png;128x128;541;33;neighborhood=1, K=1
COH;Samples/halls_and_foam.png;50x25;ExperimentsCOH1Output/halls_and_foam2.png;128x128;564;33;neighborhood=2, K=1
COH;Samples/halls_and_foam.png;50x25;ExperimentsCOH1Output/halls_and_foam3.png;128x128;581;33;neighborhood=3, K=1
COH;Samples/halls_and_foam_v.png;25x50;ExperimentsCOH1Output/halls_and_foam_v1.png;128x128;522;33;neighborhood=1, K=1
COH;Samples/halls_and_foam_v.png;25x50;ExperimentsCOH1Output/halls_and_foam_v2.png;128x128;577;33;neighborhood=2, K=1
COH;Samples/halls_and_foam_v.png;25x50;ExperimentsCOH1Output/halls_and_foam_v3.png;128x128;561;33;neighborhood=3, K=1
COH;Samples/redfoam.png;32x32;ExperimentsCOH1Output/redfoam1.png;128x128;534;42;neighborhood=1, K=1
COH;Samples/redfoam.png;32x32;ExperimentsCOH1Output/redfoam2.png;128x128;515;42;neighborhood=2, K=1
COH;Samples/redfoam.png;32x32;ExperimentsCOH1Output/redfoam3.png;128x128;540;42;neighborhood=3, K=1
COH;Samples/bluehalls.png;25x25;ExperimentsCOH1Output/bluehalls1.png;128x128;555;42;neighborhood=1, K=1
COH;Samples/bluehalls.png;25x25;ExperimentsCOH1Output/bluehalls2.png;128x128;540;42;neighborhood=2, K=1
COH;Samples/bluehalls.png;25x25;ExperimentsCOH1Output/bluehalls3.png;128x128;546;42;neighborhood=3, K=1
COH;Samples/sgraph.png;32x32;ExperimentsCOH1Output/sgraph1.png;128x64;261;-1(915);neighborhood=1, K=1
COH;Samples/sgraph.png;32x32;ExperimentsCOH1Output/sgraph2.png;128x64;256;-1(417);neighborhood=2, K=1
COH;Samples/sgraph.png;32x32;ExperimentsCOH1Output/sgraph3.png;128x64;267;-1(998);neighborhood=3, K=1
COH;Samples/sgraph.png;32x32;ExperimentsCOH1Output/sgraph4.png;128x64;269;-1(724);neighborhood=4, K=1
COH;Samples/sgraph.png;32x32;ExperimentsCOH1Output/sgraph5.png;128x64;283;-1(635);neighborhood=5, K=1
COH;Samples/sgraph.png;32x32;ExperimentsCOH1Output/sgraph6.png;128x64;294;-1(734);neighborhood=6, K=1
COH;Samples/ball.png;13x13;ExperimentsCOH1Output/ball1.png;128x128;565;-1(126);neighborhood=3, K=1
COH;Samples/ball.png;13x13;ExperimentsCOH1Output/ball2.png;128x128;533;-1(785);neighborhood=4, K=1
COH;Samples/ball.png;13x13;ExperimentsCOH1Output/ball3.png;128x128;599;-1(429);neighborhood=5, K=1
COH;Samples/solid_ball.png;13x13;ExperimentsCOH1Output/solid_ball1.png;128x128;562;-1(134);neighborhood=3, K=1
COH;Samples/solid_ball.png;13x13;ExperimentsCOH1Output/solid_ball2.png;128x128;542;-1(793);neighborhood=4, K=1
COH;Samples/solid_ball.png;13x13;ExperimentsCOH1Output/solid_ball3.png;128x128;597;-1(436);neighborhood=5, K=1
COH;Samples/city.png;32x32;ExperimentsCOH1Output/city1.png;128x32;138;4242;neighborhood=3, K=1
COH;Samples/city.png;32x32;ExperimentsCOH1Output/city2.png;128x32;144;4242;neighborhood=4, K=1
COH;Samples/city.png;32x32;ExperimentsCOH1Output/city3.png;128x32;158;4242;neighborhood=5, K=1
COH;Samples/city2.png;32x32;ExperimentsCOH1Output/cityb1.png;128x32;133;4242;neighborhood=3, K=1
COH;Samples/city2.png;32x32;ExperimentsCOH1Output/cityb2.png;128x32;175;4242;neighborhood=4, K=1
COH;Samples/city2.png;32x32;ExperimentsCOH1Output/cityb3.png;128x32;142;4242;neighborhood=5, K=1
COH;Samples/city3.png;32x32;ExperimentsCOH1Output/cityc1.png;128x32;133;4242;neighborhood=3, K=1
COH;Samples/city3.png;32x32;ExperimentsCOH1Output/cityc2.png;128x32;132;4242;neighborhood=4, K=1
COH;Samples/city3.png;32x32;ExperimentsCOH1Output/cityc3.png;128x32;144;4242;neighborhood=5, K=1
