algorithm;sample1;sample_size;output;output_image_size;duration;seed;algorithm_parameters
COH;Samples/ball.png;13x13;ExperimentsCOH2/Output/ball1.png;128x128;1813;42;neighborhood=3, K=2
COH;Samples/ball.png;13x13;ExperimentsCOH2/Output/ball2.png;128x128;2121;42;neighborhood=4, K=2
COH;Samples/ball.png;13x13;ExperimentsCOH2/Output/ball3.png;128x128;2153;42;neighborhood=5, K=2
COH;Samples/bluehalls.png;25x25;ExperimentsCOH2/Output/bluehalls1.png;128x128;2128;42;neighborhood=1, K=2
COH;Samples/bluehalls.png;25x25;ExperimentsCOH2/Output/bluehalls2.png;128x128;2194;42;neighborhood=2, K=2
COH;Samples/bluehalls.png;25x25;ExperimentsCOH2/Output/bluehalls3.png;128x128;2047;42;neighborhood=3, K=2
COH;Samples/city.png;32x32;ExperimentsCOH2/Output/city1.png;128x32;544;42;neighborhood=3, K=2
COH;Samples/city.png;32x32;ExperimentsCOH2/Output/city2.png;128x32;489;42;neighborhood=4, K=2
COH;Samples/city.png;32x32;ExperimentsCOH2/Output/city3.png;128x32;533;42;neighborhood=5, K=2
COH;Samples/city2.png;32x32;ExperimentsCOH2/Output/cityb1.png;128x32;508;42;neighborhood=3, K=2
COH;Samples/city2.png;32x32;ExperimentsCOH2/Output/cityb2.png;128x32;555;42;neighborhood=4, K=2
COH;Samples/city2.png;32x32;ExperimentsCOH2/Output/cityb3.png;128x32;508;42;neighborhood=5, K=2
COH;Samples/city3.png;32x32;ExperimentsCOH2/Output/cityc1.png;128x32;462;42;neighborhood=3, K=2
COH;Samples/city3.png;32x32;ExperimentsCOH2/Output/cityc2.png;128x32;422;42;neighborhood=4, K=2
COH;Samples/city3.png;32x32;ExperimentsCOH2/Output/cityc3.png;128x32;526;42;neighborhood=5, K=2
COH;Samples/halls_and_foam.png;50x25;ExperimentsCOH2/Output/halls_and_foam1.png;128x128;2132;42;neighborhood=1, K=2
COH;Samples/halls_and_foam.png;50x25;ExperimentsCOH2/Output/halls_and_foam2.png;128x128;2155;42;neighborhood=2, K=2
COH;Samples/halls_and_foam.png;50x25;ExperimentsCOH2/Output/halls_and_foam3.png;128x128;2193;42;neighborhood=3, K=2
COH;Samples/halls_and_foam_v.png;25x50;ExperimentsCOH2/Output/halls_and_foam_v1.png;128x128;2187;42;neighborhood=1, K=2
COH;Samples/halls_and_foam_v.png;25x50;ExperimentsCOH2/Output/halls_and_foam_v2.png;128x128;2143;42;neighborhood=2, K=2
COH;Samples/halls_and_foam_v.png;25x50;ExperimentsCOH2/Output/halls_and_foam_v3.png;128x128;2181;42;neighborhood=3, K=2
COH;Samples/redfoam.png;32x32;ExperimentsCOH2/Output/redfoam1.png;128x128;2176;42;neighborhood=1, K=2
COH;Samples/redfoam.png;32x32;ExperimentsCOH2/Output/redfoam2.png;128x128;2129;42;neighborhood=2, K=2
COH;Samples/redfoam.png;32x32;ExperimentsCOH2/Output/redfoam3.png;128x128;2145;42;neighborhood=3, K=2
COH;Samples/sgraph.png;32x32;ExperimentsCOH2/Output/sgraph1.png;128x64;1027;42;neighborhood=1, K=2
COH;Samples/sgraph.png;32x32;ExperimentsCOH2/Output/sgraph2.png;128x64;1065;42;neighborhood=2, K=2
COH;Samples/sgraph.png;32x32;ExperimentsCOH2/Output/sgraph3.png;128x64;1064;42;neighborhood=3, K=2
COH;Samples/sgraph.png;32x32;ExperimentsCOH2/Output/sgraph4.png;128x64;1109;42;neighborhood=4, K=2
COH;Samples/sgraph.png;32x32;ExperimentsCOH2/Output/sgraph5.png;128x64;1069;42;neighborhood=5, K=2
COH;Samples/sgraph.png;32x32;ExperimentsCOH2/Output/sgraph6.png;128x64;1056;42;neighborhood=6, K=2
COH;Samples/skulls.png;25x25;ExperimentsCOH2/Output/skulls1.png;64x64;471;42;neighborhood=1, K=2
COH;Samples/skulls.png;25x25;ExperimentsCOH2/Output/skulls2.png;64x64;505;42;neighborhood=2, K=2
COH;Samples/skulls.png;25x25;ExperimentsCOH2/Output/skulls3.png;64x64;509;42;neighborhood=3, K=2
COH;Samples/solid_ball.png;13x13;ExperimentsCOH2/Output/solid_ball1.png;128x128;2153;42;neighborhood=3, K=2
COH;Samples/solid_ball.png;13x13;ExperimentsCOH2/Output/solid_ball2.png;128x128;2229;42;neighborhood=4, K=2
COH;Samples/solid_ball.png;13x13;ExperimentsCOH2/Output/solid_ball3.png;128x128;2237;42;neighborhood=5, K=2
COH;Samples/square_spiral.png;64x32;ExperimentsCOH2/Output/square_spiral1.png;128x128;2094;42;neighborhood=1, K=2
COH;Samples/square_spiral.png;64x32;ExperimentsCOH2/Output/square_spiral2.png;128x128;2147;42;neighborhood=2, K=2
COH;Samples/square_spiral.png;64x32;ExperimentsCOH2/Output/square_spiral3.png;128x128;1992;42;neighborhood=3, K=2
COH;Samples/wall.png;32x32;ExperimentsCOH2/Output/wall1.png;128x128;2164;42;neighborhood=1, K=2
COH;Samples/wall.png;32x32;ExperimentsCOH2/Output/wall2.png;128x128;2124;42;neighborhood=2, K=2
COH;Samples/wall.png;32x32;ExperimentsCOH2/Output/wall3.png;128x128;2166;42;neighborhood=3, K=2
