algorithm;sample1;sample_size;output;output_image_size;duration;seed;algorithm_parameters
FNS;Samples/ball.png;13x13;ExperimentsFNS/Output/ball1.png;128x128;6129;42;neighborhood=3
FNS;Samples/ball.png;13x13;ExperimentsFNS/Output/ball2.png;128x128;8720;42;neighborhood=4
FNS;Samples/ball.png;13x13;ExperimentsFNS/Output/ball3.png;128x128;11895;42;neighborhood=5
FNS;Samples/bluehalls.png;25x25;ExperimentsFNS/Output/bluehalls1.png;128x128;4857;42;neighborhood=1
FNS;Samples/bluehalls.png;25x25;ExperimentsFNS/Output/bluehalls2.png;128x128;9592;42;neighborhood=2
FNS;Samples/bluehalls.png;25x25;ExperimentsFNS/Output/bluehalls3.png;128x128;16763;42;neighborhood=3
FNS;Samples/city.png;32x32;ExperimentsFNS/Output/city1.png;128x32;6531;42;neighborhood=3
FNS;Samples/city.png;32x32;ExperimentsFNS/Output/city2.png;128x32;10448;42;neighborhood=4
FNS;Samples/city.png;32x32;ExperimentsFNS/Output/city3.png;128x32;15388;42;neighborhood=5
FNS;Samples/city2.png;32x32;ExperimentsFNS/Output/cityb1.png;128x32;6469;42;neighborhood=3
FNS;Samples/city2.png;32x32;ExperimentsFNS/Output/cityb2.png;128x32;10445;42;neighborhood=4
FNS;Samples/city2.png;32x32;ExperimentsFNS/Output/cityb3.png;128x32;15375;42;neighborhood=5
FNS;Samples/city3.png;32x32;ExperimentsFNS/Output/cityc1.png;128x32;6574;42;neighborhood=3
FNS;Samples/city3.png;32x32;ExperimentsFNS/Output/cityc2.png;128x32;10456;42;neighborhood=4
FNS;Samples/city3.png;32x32;ExperimentsFNS/Output/cityc3.png;128x32;15368;42;neighborhood=5
FNS;Samples/halls_and_foam.png;50x25;ExperimentsFNS/Output/halls_and_foam1.png;128x128;7462;42;neighborhood=1
FNS;Samples/halls_and_foam.png;50x25;ExperimentsFNS/Output/halls_and_foam2.png;128x128;17070;42;neighborhood=2
FNS;Samples/halls_and_foam.png;50x25;ExperimentsFNS/Output/halls_and_foam3.png;128x128;31463;42;neighborhood=3
FNS;Samples/halls_and_foam_v.png;25x50;ExperimentsFNS/Output/halls_and_foam_v1.png;128x128;7396;42;neighborhood=1
FNS;Samples/halls_and_foam_v.png;25x50;ExperimentsFNS/Output/halls_and_foam_v2.png;128x128;17106;42;neighborhood=2
FNS;Samples/halls_and_foam_v.png;25x50;ExperimentsFNS/Output/halls_and_foam_v3.png;128x128;31471;42;neighborhood=3
FNS;Samples/redfoam.png;32x32;ExperimentsFNS/Output/redfoam1.png;128x128;6426;42;neighborhood=1
FNS;Samples/redfoam.png;32x32;ExperimentsFNS/Output/redfoam2.png;128x128;14382;42;neighborhood=2
FNS;Samples/redfoam.png;32x32;ExperimentsFNS/Output/redfoam3.png;128x128;26247;42;neighborhood=3
FNS;Samples/sgraph.png;32x32;ExperimentsFNS/Output/sgraph1.png;128x64;3195;42;neighborhood=1
FNS;Samples/sgraph.png;32x32;ExperimentsFNS/Output/sgraph2.png;128x64;7198;42;neighborhood=2
FNS;Samples/sgraph.png;32x32;ExperimentsFNS/Output/sgraph3.png;128x64;13120;42;neighborhood=3
FNS;Samples/sgraph.png;32x32;ExperimentsFNS/Output/sgraph4.png;128x64;20985;42;neighborhood=4
FNS;Samples/sgraph.png;32x32;ExperimentsFNS/Output/sgraph5.png;128x64;30691;42;neighborhood=5
FNS;Samples/sgraph.png;32x32;ExperimentsFNS/Output/sgraph6.png;128x64;42490;42;neighborhood=6
FNS;Samples/skulls.png;25x25;ExperimentsFNS/Output/skulls1.png;64x64;1192;42;neighborhood=1
FNS;Samples/skulls.png;25x25;ExperimentsFNS/Output/skulls2.png;64x64;2391;42;neighborhood=2
FNS;Samples/skulls.png;25x25;ExperimentsFNS/Output/skulls3.png;64x64;4215;42;neighborhood=3
FNS;Samples/solid_ball.png;13x13;ExperimentsFNS/Output/solid_ball1.png;128x128;6152;42;neighborhood=3
FNS;Samples/solid_ball.png;13x13;ExperimentsFNS/Output/solid_ball2.png;128x128;8670;42;neighborhood=4
FNS;Samples/solid_ball.png;13x13;ExperimentsFNS/Output/solid_ball3.png;128x128;11951;42;neighborhood=5
FNS;Samples/square_spiral.png;64x32;ExperimentsFNS/Output/square_spiral1.png;128x128;10480;42;neighborhood=1
FNS;Samples/square_spiral.png;64x32;ExperimentsFNS/Output/square_spiral2.png;128x128;26640;42;neighborhood=2
FNS;Samples/square_spiral.png;64x32;ExperimentsFNS/Output/square_spiral3.png;128x128;50509;42;neighborhood=3
FNS;Samples/wall.png;32x32;ExperimentsFNS/Output/wall1.png;128x128;6478;42;neighborhood=1
FNS;Samples/wall.png;32x32;ExperimentsFNS/Output/wall2.png;128x128;14453;42;neighborhood=2
FNS;Samples/wall.png;32x32;ExperimentsFNS/Output/wall3.png;128x128;26184;42;neighborhood=3
