algorithm;sample1;sample_size;output;output_image_size;duration;seed;algorithm_parameters
FNS;Samples/skulls.png;25x25;ExperimentsFNSOutput/skulls1.png;64x64;1208;42;neighborhood=1
FNS;Samples/skulls.png;25x25;ExperimentsFNSOutput/skulls2.png;64x64;3116;42;neighborhood=2
FNS;Samples/skulls.png;25x25;ExperimentsFNSOutput/skulls3.png;64x64;5464;42;neighborhood=3
FNS;Samples/wall.png;32x32;ExperimentsFNSOutput/wall1.png;128x128;7010;42;neighborhood=1
FNS;Samples/wall.png;32x32;ExperimentsFNSOutput/wall2.png;128x128;17794;42;neighborhood=2
FNS;Samples/wall.png;32x32;ExperimentsFNSOutput/wall3.png;128x128;33994;42;neighborhood=3
FNS;Samples/square_spiral.png;64x32;ExperimentsFNSOutput/square_spiral1.png;128x128;13665;42;neighborhood=1
FNS;Samples/square_spiral.png;64x32;ExperimentsFNSOutput/square_spiral2.png;128x128;36287;42;neighborhood=2
FNS;Samples/square_spiral.png;64x32;ExperimentsFNSOutput/square_spiral3.png;128x128;69791;42;neighborhood=3
FNS;Samples/halls_and_foam.png;50x25;ExperimentsFNSOutput/halls_and_foam1.png;128x128;8384;33;neighborhood=1
FNS;Samples/halls_and_foam.png;50x25;ExperimentsFNSOutput/halls_and_foam2.png;128x128;24138;33;neighborhood=2
FNS;Samples/halls_and_foam.png;50x25;ExperimentsFNSOutput/halls_and_foam3.png;128x128;43619;33;neighborhood=3
FNS;Samples/halls_and_foam_v.png;25x50;ExperimentsFNSOutput/halls_and_foam_v1.png;128x128;8844;33;neighborhood=1
FNS;Samples/halls_and_foam_v.png;25x50;ExperimentsFNSOutput/halls_and_foam_v2.png;128x128;22991;33;neighborhood=2
FNS;Samples/halls_and_foam_v.png;25x50;ExperimentsFNSOutput/halls_and_foam_v3.png;128x128;42463;33;neighborhood=3
FNS;Samples/redfoam.png;32x32;ExperimentsFNSOutput/redfoam1.png;128x128;7016;42;neighborhood=1
FNS;Samples/redfoam.png;32x32;ExperimentsFNSOutput/redfoam2.png;128x128;18782;42;neighborhood=2
FNS;Samples/redfoam.png;32x32;ExperimentsFNSOutput/redfoam3.png;128x128;35113;42;neighborhood=3
FNS;Samples/bluehalls.png;25x25;ExperimentsFNSOutput/bluehalls1.png;128x128;5052;42;neighborhood=1
FNS;Samples/bluehalls.png;25x25;ExperimentsFNSOutput/bluehalls2.png;128x128;12302;42;neighborhood=2
FNS;Samples/bluehalls.png;25x25;ExperimentsFNSOutput/bluehalls3.png;128x128;21109;42;neighborhood=3
FNS;Samples/sgraph.png;32x32;ExperimentsFNSOutput/sgraph1.png;128x64;3385;-1(428);neighborhood=1
FNS;Samples/sgraph.png;32x32;ExperimentsFNSOutput/sgraph2.png;128x64;8622;-1(893);neighborhood=2
FNS;Samples/sgraph.png;32x32;ExperimentsFNSOutput/sgraph3.png;128x64;15881;-1(595);neighborhood=3
FNS;Samples/sgraph.png;32x32;ExperimentsFNSOutput/sgraph4.png;128x64;25722;-1(564);neighborhood=4
FNS;Samples/sgraph.png;32x32;ExperimentsFNSOutput/sgraph5.png;128x64;37690;-1(399);neighborhood=5
FNS;Samples/sgraph.png;32x32;ExperimentsFNSOutput/sgraph6.png;128x64;52188;-1(184);neighborhood=6
FNS;Samples/ball.png;13x13;ExperimentsFNSOutput/ball1.png;128x128;8056;-1(586);neighborhood=3
FNS;Samples/ball.png;13x13;ExperimentsFNSOutput/ball2.png;128x128;12759;-1(736);neighborhood=4
FNS;Samples/ball.png;13x13;ExperimentsFNSOutput/ball3.png;128x128;15559;-1(606);neighborhood=5
FNS;Samples/solid_ball.png;13x13;ExperimentsFNSOutput/solid_ball1.png;128x128;7864;-1(274);neighborhood=3
FNS;Samples/solid_ball.png;13x13;ExperimentsFNSOutput/solid_ball2.png;128x128;11970;-1(250);neighborhood=4
FNS;Samples/solid_ball.png;13x13;ExperimentsFNSOutput/solid_ball3.png;128x128;16805;-1(316);neighborhood=5
FNS;Samples/city.png;32x32;ExperimentsFNSOutput/city1.png;128x32;11547;4242;neighborhood=3
FNS;Samples/city.png;32x32;ExperimentsFNSOutput/city2.png;128x32;38798;4242;neighborhood=4
FNS;Samples/city.png;32x32;ExperimentsFNSOutput/city3.png;128x32;65782;4242;neighborhood=5
FNS;Samples/city2.png;32x32;ExperimentsFNSOutput/cityb1.png;128x32;24579;4242;neighborhood=3
FNS;Samples/city2.png;32x32;ExperimentsFNSOutput/cityb2.png;128x32;42163;4242;neighborhood=4
FNS;Samples/city2.png;32x32;ExperimentsFNSOutput/cityb3.png;128x32;63515;4242;neighborhood=5
FNS;Samples/city3.png;32x32;ExperimentsFNSOutput/cityc1.png;128x32;20773;4242;neighborhood=3
FNS;Samples/city3.png;32x32;ExperimentsFNSOutput/cityc2.png;128x32;42096;4242;neighborhood=4
FNS;Samples/city3.png;32x32;ExperimentsFNSOutput/cityc3.png;128x32;55370;4242;neighborhood=5
