algorithm;sample1;sample_size;output;output_image_size;duration;seed;algorithm_parameters
HAR;Samples/ball.png;13x13;ExperimentsHAR1/Output/ball1.gif;128x128;1496;42;neighborhood=3, M=20, Polish=8
HAR;Samples/ball.png;13x13;ExperimentsHAR1/Output/ball2.gif;128x128;2206;42;neighborhood=4, M=20, Polish=8
HAR;Samples/ball.png;13x13;ExperimentsHAR1/Output/ball3.gif;128x128;3319;42;neighborhood=5, M=20, Polish=8
HAR;Samples/bluehalls.png;25x25;ExperimentsHAR1/Output/bluehalls1.gif;128x128;445;42;neighborhood=1, M=20, Polish=8
HAR;Samples/bluehalls.png;25x25;ExperimentsHAR1/Output/bluehalls2.gif;128x128;872;42;neighborhood=2, M=20, Polish=8
HAR;Samples/bluehalls.png;25x25;ExperimentsHAR1/Output/bluehalls3.gif;128x128;1417;42;neighborhood=3, M=20, Polish=8
HAR;Samples/city.png;32x32;ExperimentsHAR1/Output/city1.gif;128x32;375;42;neighborhood=3, M=20, Polish=8
HAR;Samples/city.png;32x32;ExperimentsHAR1/Output/city2.gif;128x32;554;42;neighborhood=4, M=20, Polish=8
HAR;Samples/city.png;32x32;ExperimentsHAR1/Output/city3.gif;128x32;835;42;neighborhood=5, M=20, Polish=8
HAR;Samples/city2.png;32x32;ExperimentsHAR1/Output/cityb1.gif;128x32;373;42;neighborhood=3, M=20, Polish=8
HAR;Samples/city2.png;32x32;ExperimentsHAR1/Output/cityb2.gif;128x32;552;42;neighborhood=4, M=20, Polish=8
HAR;Samples/city2.png;32x32;ExperimentsHAR1/Output/cityb3.gif;128x32;834;42;neighborhood=5, M=20, Polish=8
HAR;Samples/city3.png;32x32;ExperimentsHAR1/Output/cityc1.gif;128x32;373;42;neighborhood=3, M=20, Polish=8
HAR;Samples/city3.png;32x32;ExperimentsHAR1/Output/cityc2.gif;128x32;550;42;neighborhood=4, M=20, Polish=8
HAR;Samples/city3.png;32x32;ExperimentsHAR1/Output/cityc3.gif;128x32;831;42;neighborhood=5, M=20, Polish=8
HAR;Samples/halls_and_foam.png;50x25;ExperimentsHAR1/Output/halls_and_foam1.gif;128x128;456;42;neighborhood=1, M=20, Polish=8
HAR;Samples/halls_and_foam.png;50x25;ExperimentsHAR1/Output/halls_and_foam2.gif;128x128;888;42;neighborhood=2, M=20, Polish=8
HAR;Samples/halls_and_foam.png;50x25;ExperimentsHAR1/Output/halls_and_foam3.gif;128x128;1446;42;neighborhood=3, M=20, Polish=8
HAR;Samples/halls_and_foam_v.png;25x50;ExperimentsHAR1/Output/halls_and_foam_v1.gif;128x128;453;42;neighborhood=1, M=20, Polish=8
HAR;Samples/halls_and_foam_v.png;25x50;ExperimentsHAR1/Output/halls_and_foam_v2.gif;128x128;892;42;neighborhood=2, M=20, Polish=8
HAR;Samples/halls_and_foam_v.png;25x50;ExperimentsHAR1/Output/halls_and_foam_v3.gif;128x128;1451;42;neighborhood=3, M=20, Polish=8
HAR;Samples/redfoam.png;32x32;ExperimentsHAR1/Output/redfoam1.gif;128x128;441;42;neighborhood=1, M=20, Polish=8
HAR;Samples/redfoam.png;32x32;ExperimentsHAR1/Output/redfoam2.gif;128x128;867;42;neighborhood=2, M=20, Polish=8
HAR;Samples/redfoam.png;32x32;ExperimentsHAR1/Output/redfoam3.gif;128x128;1393;42;neighborhood=3, M=20, Polish=8
HAR;Samples/sgraph.png;32x32;ExperimentsHAR1/Output/sgraph1.gif;128x64;235;42;neighborhood=1, M=20, Polish=8
HAR;Samples/sgraph.png;32x32;ExperimentsHAR1/Output/sgraph2.gif;128x64;449;42;neighborhood=2, M=20, Polish=8
HAR;Samples/sgraph.png;32x32;ExperimentsHAR1/Output/sgraph3.gif;128x64;715;42;neighborhood=3, M=20, Polish=8
HAR;Samples/sgraph.png;32x32;ExperimentsHAR1/Output/sgraph4.gif;128x64;1083;42;neighborhood=4, M=20, Polish=8
HAR;Samples/sgraph.png;32x32;ExperimentsHAR1/Output/sgraph5.gif;128x64;1630;42;neighborhood=5, M=20, Polish=8
HAR;Samples/sgraph.png;32x32;ExperimentsHAR1/Output/sgraph6.gif;128x64;2187;42;neighborhood=6, M=20, Polish=8
HAR;Samples/skulls.png;25x25;ExperimentsHAR1/Output/skulls1.gif;64x64;134;42;neighborhood=1, M=20, Polish=8
HAR;Samples/skulls.png;25x25;ExperimentsHAR1/Output/skulls2.gif;64x64;242;42;neighborhood=2, M=20, Polish=8
HAR;Samples/skulls.png;25x25;ExperimentsHAR1/Output/skulls3.gif;64x64;378;42;neighborhood=3, M=20, Polish=8
HAR;Samples/solid_ball.png;13x13;ExperimentsHAR1/Output/solid_ball1.gif;128x128;1445;42;neighborhood=3, M=20, Polish=8
HAR;Samples/solid_ball.png;13x13;ExperimentsHAR1/Output/solid_ball2.gif;128x128;2172;42;neighborhood=4, M=20, Polish=8
HAR;Samples/solid_ball.png;13x13;ExperimentsHAR1/Output/solid_ball3.gif;128x128;3310;42;neighborhood=5, M=20, Polish=8
HAR;Samples/square_spiral.png;64x32;ExperimentsHAR1/Output/square_spiral1.gif;128x128;443;42;neighborhood=1, M=20, Polish=8
HAR;Samples/square_spiral.png;64x32;ExperimentsHAR1/Output/square_spiral2.gif;128x128;873;42;neighborhood=2, M=20, Polish=8
HAR;Samples/square_spiral.png;64x32;ExperimentsHAR1/Output/square_spiral3.gif;128x128;1402;42;neighborhood=3, M=20, Polish=8
HAR;Samples/wall.png;32x32;ExperimentsHAR1/Output/wall1.gif;128x128;444;42;neighborhood=1, M=20, Polish=8
HAR;Samples/wall.png;32x32;ExperimentsHAR1/Output/wall2.gif;128x128;870;42;neighborhood=2, M=20, Polish=8
HAR;Samples/wall.png;32x32;ExperimentsHAR1/Output/wall3.gif;128x128;1392;42;neighborhood=3, M=20, Polish=8
