algorithm;sample1;sample_size;output;output_image_size;duration;seed;algorithm_parameters
HAR;SamplesPackA/decor_a.png;17x17;ExperimentsPackA/Output/decor_a1.png;128x128;2149;-1(20);neighborhood=5, M=20, Polish=5
HAR;SamplesPackA/decor_a.png;17x17;ExperimentsPackA/Output/decor_a2.png;128x64;1264;-1(224);neighborhood=5, M=20, Polish=5
HAR;SamplesPackA/decor_a.png;17x17;ExperimentsPackA/Output/decor_a3.png;128x64;1174;-1(542);neighborhood=5, M=20, Polish=5
HAR;SamplesPackA/decor_b.png;17x17;ExperimentsPackA/Output/decor_b1.png;128x128;2370;-1(780);neighborhood=5, M=20, Polish=5
HAR;SamplesPackA/decor_b.png;17x17;ExperimentsPackA/Output/decor_b2.png;128x64;1159;-1(210);neighborhood=5, M=20, Polish=5
HAR;SamplesPackA/decor_b.png;17x17;ExperimentsPackA/Output/decor_b3.png;128x64;1145;-1(430);neighborhood=5, M=20, Polish=5
HAR;SamplesPackA/decor_c.png;58x60;ExperimentsPackA/Output/decor_c1.png;256x256;9760;-1(642);neighborhood=5, M=20, Polish=5
HAR;SamplesPackA/decor_c.png;58x60;ExperimentsPackA/Output/decor_c2.png;256x256;9276;-1(493);neighborhood=5, M=20, Polish=5
HAR;SamplesPackA/decor_c.png;58x60;ExperimentsPackA/Output/decor_c3.png;256x256;9617;-1(851);neighborhood=5, M=20, Polish=5
HAR;SamplesPackA/decor_d.png;15x15;ExperimentsPackA/Output/decor_d1.png;128x128;2416;-1(543);neighborhood=5, M=20, Polish=5
HAR;SamplesPackA/decor_d.png;15x15;ExperimentsPackA/Output/decor_d2.png;128x128;2313;-1(25);neighborhood=5, M=20, Polish=5
HAR;SamplesPackA/decor_d.png;15x15;ExperimentsPackA/Output/decor_d3.png;128x128;2526;-1(401);neighborhood=5, M=20, Polish=5
HAR;SamplesPackA/decor_e.png;15x15;ExperimentsPackA/Output/decor_e1.png;128x128;2698;-1(6);neighborhood=5, M=20, Polish=5
HAR;SamplesPackA/decor_e.png;15x15;ExperimentsPackA/Output/decor_e2.png;128x128;2570;-1(768);neighborhood=5, M=20, Polish=5
HAR;SamplesPackA/decor_e.png;15x15;ExperimentsPackA/Output/decor_e3.png;128x128;2417;-1(399);neighborhood=5, M=20, Polish=5
HAR;SamplesPackA/decor_f.png;15x15;ExperimentsPackA/Output/decor_f1.png;128x128;2618;-1(879);neighborhood=5, M=20, Polish=5
HAR;SamplesPackA/decor_f.png;15x15;ExperimentsPackA/Output/decor_f2.png;128x128;2476;-1(564);neighborhood=5, M=20, Polish=5
HAR;SamplesPackA/decor_f.png;15x15;ExperimentsPackA/Output/decor_f3.png;128x128;2428;-1(97);neighborhood=5, M=20, Polish=5
HAR;SamplesPackA/decor_g.png;15x15;ExperimentsPackA/Output/decor_g1.png;128x128;2443;-1(589);neighborhood=5, M=20, Polish=5
